,a,b,c
0,2.86,-731.6472181705963,-0.0
1,5.07,-7.2444220560140025,-0.0
2,7.43,-444.6986740939762,-0.0
3,9.74,-656.0001508798655,-0.0
4,12.08,-1028.0969504294424,-0.0
5,14.08,-10036.827927587428,-0.0
6,16.41,-3216.9172952957265,-0.0
7,18.740000000000002,-343.26089278582924,-0.0
8,20.740000000000002,-330.5019434503683,-0.0
9,22.740000000000002,-389.81892153116064,-0.0
10,24.75,-337.24774380207595,-0.0
11,26.77,-549.1406932908601,-0.0
12,29.09,-696.907144550686,-0.0
13,31.09,-809.160881953612,-0.0
14,33.61,-580.3344645699963,-0.0
15,35.81,-538.800303792211,-0.0
16,38.1,-406.3646494255962,-0.0
17,40.26,-228.84854171807405,-0.0
18,42.26,-153.2791362241131,-0.0
19,44.29,-93.26169718909924,-0.0
20,46.300000000000004,-83.25841686705729,-0.0
21,48.6,-84.50269096635982,-0.0
22,50.95,-84.82937261829494,-0.0
23,53.29,-84.49497795511255,-0.0
24,55.34,-81.55055662033287,-0.0
25,57.64,-76.39554548454787,-0.0
26,60.02,-73.86209741633263,-0.0
27,62.27,-68.17901025486078,-0.0
28,64.27,-68.0951250712751,-0.0
29,66.3,-64.59145640512077,-0.0
30,68.63,-59.430153335801116,-0.0
31,70.63,-45.23320819123019,-0.0
32,72.63,-41.23800634077764,-0.0
33,74.97,-51.492688619282504,-0.0
34,77.29,-68.75587751554558,-0.0
35,79.31,-72.79869412889012,-0.0
36,81.72,-75.70584608985641,-0.0
37,83.99,-114.0488043145998,-0.0
38,86.36,-135.4172102426613,-0.0
39,88.62,-355.54064544532423,-0.0
40,90.64,-807.4249647219069,-0.0
41,92.98,-272.39096159686454,-0.0
42,95.0,-131.8158142042808,-0.0
43,97.31,-152.77263877099372,-0.0
